depth	min95%	max95%	best	accrate
621	6217	7181	6692	10.63
622	6226	7196	6703	10.63
623	6234	7213	6713	10.63
624	6240	7229	6724	10.63
625	6249	7245	6734	10.63
626	6257	7260	6745	10.63
627	6266	7273	6756	10.63
628	6274	7287	6766	10.63
629	6279	7298	6777	10.63
630	6285	7310	6788	10.63
631	6290	7323	6798	10.63
632	6294	7338	6809	10.63
633	6301	7352	6820	10.63
634	6306	7367	6830	10.63
635	6311	7381	6841	10.63
636	6319	7395	6851	10.63
637	6329	7409	6862	10.63
638	6339	7422	6873	10.63
639	6350	7436	6883	10.63
640	6360	7450	6894	10.63
641	6371	7463	6905	10.63
642	6381	7477	6915	10.63
643	6389	7490	6926	10.63
644	6395	7504	6936	10.63
645	6401	7521	6947	10.63
646	6406	7533	6958	10.63
647	6412	7545	6968	10.63
648	6418	7558	6979	10.63
649	6423	7572	6990	10.63
650	6429	7586	7000	NA
